Kinetic_Energy	Electron_Stp_Pow	Nuclear_Stp_Pow	Total_Stp_Pow	CSDA_Range	Projected_Range

1.000E-03	8.750E+01	1.340E+02	2.215E+02	5.377E-06	2.025E-06	
1.500E-03	1.086E+02	1.256E+02	2.342E+02	7.562E-06	3.034E-06	
2.000E-03	1.267E+02	1.178E+02	2.444E+02	9.651E-06	4.073E-06	
2.500E-03	1.427E+02	1.109E+02	2.536E+02	1.166E-05	5.129E-06	
3.000E-03	1.573E+02	1.049E+02	2.622E+02	1.360E-05	6.198E-06	
4.000E-03	1.835E+02	9.494E+01	2.784E+02	1.730E-05	8.355E-06	
5.000E-03	2.067E+02	8.698E+01	2.937E+02	2.079E-05	1.052E-05	
6.000E-03	2.279E+02	8.047E+01	3.084E+02	2.411E-05	1.267E-05	
7.000E-03	2.475E+02	7.501E+01	3.225E+02	2.728E-05	1.481E-05	
8.000E-03	2.659E+02	7.036E+01	3.362E+02	3.032E-05	1.692E-05	
9.000E-03	2.832E+02	6.635E+01	3.495E+02	3.324E-05	1.900E-05	
1.000E-02	2.996E+02	6.283E+01	3.625E+02	3.605E-05	2.106E-05	
1.250E-02	3.377E+02	5.568E+01	3.933E+02	4.266E-05	2.606E-05	
1.500E-02	3.723E+02	5.018E+01	4.225E+02	4.879E-05	3.087E-05	
1.750E-02	4.043E+02	4.579E+01	4.501E+02	5.452E-05	3.550E-05	
2.000E-02	4.343E+02	4.220E+01	4.765E+02	5.992E-05	3.996E-05	
2.250E-02	4.626E+02	3.919E+01	5.018E+02	6.503E-05	4.427E-05	
2.500E-02	4.894E+02	3.663E+01	5.260E+02	6.989E-05	4.843E-05	
2.750E-02	5.150E+02	3.443E+01	5.494E+02	7.454E-05	5.247E-05	
3.000E-02	5.395E+02	3.250E+01	5.720E+02	7.900E-05	5.638E-05	
3.500E-02	5.858E+02	2.929E+01	6.150E+02	8.743E-05	6.387E-05	
4.000E-02	6.290E+02	2.672E+01	6.557E+02	9.530E-05	7.097E-05	
4.500E-02	6.696E+02	2.461E+01	6.942E+02	1.027E-04	7.774E-05	
5.000E-02	7.081E+02	2.284E+01	7.310E+02	1.097E-04	8.420E-05	
5.500E-02	7.448E+02	2.133E+01	7.661E+02	1.164E-04	9.041E-05	
6.000E-02	7.798E+02	2.002E+01	7.998E+02	1.228E-04	9.638E-05	
6.500E-02	8.134E+02	1.888E+01	8.323E+02	1.289E-04	1.021E-04	
7.000E-02	8.457E+02	1.788E+01	8.636E+02	1.348E-04	1.077E-04	
7.500E-02	8.768E+02	1.699E+01	8.938E+02	1.405E-04	1.131E-04	
8.000E-02	9.068E+02	1.619E+01	9.230E+02	1.460E-04	1.184E-04	
8.500E-02	9.359E+02	1.547E+01	9.514E+02	1.513E-04	1.235E-04	
9.000E-02	9.640E+02	1.482E+01	9.788E+02	1.565E-04	1.284E-04	
9.500E-02	9.913E+02	1.422E+01	1.006E+03	1.616E-04	1.333E-04	
1.000E-01	1.018E+03	1.368E+01	1.031E+03	1.665E-04	1.380E-04	
1.250E-01	1.140E+03	1.152E+01	1.151E+03	1.894E-04	1.602E-04	
1.500E-01	1.247E+03	9.991E+00	1.257E+03	2.101E-04	1.804E-04	
1.750E-01	1.343E+03	8.848E+00	1.352E+03	2.293E-04	1.991E-04	
2.000E-01	1.429E+03	7.956E+00	1.437E+03	2.472E-04	2.167E-04	
2.250E-01	1.506E+03	7.240E+00	1.513E+03	2.642E-04	2.334E-04	
2.500E-01	1.575E+03	6.651E+00	1.582E+03	2.803E-04	2.494E-04	
2.750E-01	1.637E+03	6.157E+00	1.643E+03	2.958E-04	2.647E-04	
3.000E-01	1.693E+03	5.736E+00	1.698E+03	3.108E-04	2.795E-04	
3.500E-01	1.787E+03	5.057E+00	1.792E+03	3.394E-04	3.078E-04	
4.000E-01	1.861E+03	4.531E+00	1.866E+03	3.667E-04	3.350E-04	
4.500E-01	1.918E+03	4.111E+00	1.923E+03	3.931E-04	3.612E-04	
5.000E-01	1.961E+03	3.767E+00	1.964E+03	4.188E-04	3.867E-04	
5.500E-01	1.990E+03	3.479E+00	1.993E+03	4.441E-04	4.118E-04	
6.000E-01	2.008E+03	3.235E+00	2.012E+03	4.690E-04	4.367E-04	
6.500E-01	2.017E+03	3.025E+00	2.020E+03	4.938E-04	4.614E-04	
7.000E-01	2.019E+03	2.843E+00	2.021E+03	5.186E-04	4.860E-04	
7.500E-01	2.013E+03	2.682E+00	2.016E+03	5.433E-04	5.107E-04	
8.000E-01	2.002E+03	2.540E+00	2.005E+03	5.682E-04	5.355E-04	
8.500E-01	1.987E+03	2.413E+00	1.989E+03	5.932E-04	5.604E-04	
9.000E-01	1.968E+03	2.299E+00	1.970E+03	6.185E-04	5.856E-04	
9.500E-01	1.946E+03	2.196E+00	1.948E+03	6.440E-04	6.111E-04	
1.000E+00	1.922E+03	2.103E+00	1.924E+03	6.698E-04	6.368E-04	
1.250E+00	1.774E+03	1.738E+00	1.776E+03	8.049E-04	7.716E-04	
1.500E+00	1.625E+03	1.487E+00	1.626E+03	9.520E-04	9.184E-04	
1.750E+00	1.494E+03	1.302E+00	1.495E+03	1.112E-03	1.079E-03	
2.000E+00	1.382E+03	1.160E+00	1.383E+03	1.287E-03	1.252E-03	
2.250E+00	1.287E+03	1.048E+00	1.288E+03	1.474E-03	1.440E-03	
2.500E+00	1.205E+03	9.560E-01	1.206E+03	1.675E-03	1.640E-03	
2.750E+00	1.133E+03	8.799E-01	1.134E+03	1.889E-03	1.854E-03	
3.000E+00	1.072E+03	8.157E-01	1.072E+03	2.116E-03	2.080E-03	
3.500E+00	9.686E+02	7.129E-01	9.693E+02	2.607E-03	2.571E-03	
4.000E+00	8.859E+02	6.341E-01	8.865E+02	3.147E-03	3.111E-03	
4.500E+00	8.180E+02	5.718E-01	8.186E+02	3.734E-03	3.698E-03	
5.000E+00	7.607E+02	5.211E-01	7.612E+02	4.368E-03	4.331E-03	
5.500E+00	7.117E+02	4.791E-01	7.122E+02	5.048E-03	5.010E-03	
6.000E+00	6.696E+02	4.436E-01	6.700E+02	5.772E-03	5.734E-03	
6.500E+00	6.327E+02	4.133E-01	6.331E+02	6.540E-03	6.501E-03	
7.000E+00	6.002E+02	3.870E-01	6.005E+02	7.351E-03	7.312E-03	
7.500E+00	5.712E+02	3.640E-01	5.716E+02	8.205E-03	8.165E-03	
8.000E+00	5.453E+02	3.437E-01	5.456E+02	9.100E-03	9.060E-03	
8.500E+00	5.219E+02	3.257E-01	5.222E+02	1.004E-02	9.996E-03	
9.000E+00	5.006E+02	3.095E-01	5.009E+02	1.102E-02	1.097E-02	
9.500E+00	4.812E+02	2.949E-01	4.815E+02	1.203E-02	1.199E-02	
1.000E+01	4.634E+02	2.817E-01	4.637E+02	1.309E-02	1.305E-02	
1.250E+01	3.926E+02	2.308E-01	3.929E+02	1.897E-02	1.893E-02	
1.500E+01	3.423E+02	1.959E-01	3.425E+02	2.581E-02	2.576E-02	
1.750E+01	3.044E+02	1.705E-01	3.046E+02	3.356E-02	3.351E-02	
2.000E+01	2.747E+02	1.511E-01	2.748E+02	4.222E-02	4.216E-02	
2.500E+01	2.309E+02	1.234E-01	2.311E+02	6.214E-02	6.207E-02	
2.750E+01	2.143E+02	1.131E-01	2.144E+02	7.338E-02	7.330E-02	
3.000E+01	2.001E+02	1.045E-01	2.002E+02	8.546E-02	8.537E-02	
3.500E+01	1.771E+02	9.074E-02	1.772E+02	1.121E-01	1.120E-01	
4.000E+01	1.593E+02	8.026E-02	1.593E+02	1.419E-01	1.417E-01	
4.500E+01	1.449E+02	7.201E-02	1.450E+02	1.748E-01	1.747E-01	
5.000E+01	1.332E+02	6.533E-02	1.333E+02	2.108E-01	2.106E-01	
5.500E+01	1.234E+02	5.981E-02	1.234E+02	2.498E-01	2.496E-01	
6.000E+01	1.150E+02	5.516E-02	1.151E+02	2.918E-01	2.916E-01	
6.500E+01	1.078E+02	5.119E-02	1.079E+02	3.367E-01	3.365E-01	
7.000E+01	1.016E+02	4.776E-02	1.016E+02	3.845E-01	3.842E-01	
7.500E+01	9.607E+01	4.477E-02	9.612E+01	4.351E-01	4.348E-01	
8.000E+01	9.119E+01	4.215E-02	9.123E+01	4.885E-01	4.882E-01	
8.500E+01	8.683E+01	3.982E-02	8.687E+01	5.447E-01	5.444E-01	
9.000E+01	8.291E+01	3.774E-02	8.295E+01	6.036E-01	6.033E-01	
9.500E+01	7.936E+01	3.587E-02	7.940E+01	6.652E-01	6.649E-01	
1.000E+02	7.614E+01	3.418E-02	7.618E+01	7.295E-01	7.291E-01	
1.250E+02	6.360E+01	2.767E-02	6.363E+01	1.090E+00	1.090E+00	
1.500E+02	5.493E+01	2.324E-02	5.496E+01	1.514E+00	1.514E+00	
1.750E+02	4.857E+01	2.004E-02	4.859E+01	1.999E+00	1.998E+00	
2.000E+02	4.368E+01	1.763E-02	4.370E+01	2.543E+00	2.542E+00	
2.250E+02	3.981E+01	1.573E-02	3.983E+01	3.143E+00	3.141E+00	
2.500E+02	3.666E+01	1.421E-02	3.668E+01	3.798E+00	3.796E+00	
2.750E+02	3.405E+01	1.296E-02	3.406E+01	4.506E+00	4.504E+00	
3.000E+02	3.184E+01	1.191E-02	3.185E+01	5.265E+00	5.263E+00	
3.500E+02	2.832E+01	1.025E-02	2.833E+01	6.933E+00	6.930E+00	
4.000E+02	2.563E+01	8.987E-03	2.564E+01	8.791E+00	8.788E+00	
4.500E+02	2.351E+01	8.005E-03	2.352E+01	1.083E+01	1.083E+01	
5.000E+02	2.179E+01	7.219E-03	2.179E+01	1.304E+01	1.304E+01	
5.500E+02	2.036E+01	6.574E-03	2.037E+01	1.542E+01	1.541E+01	
6.000E+02	1.917E+01	6.034E-03	1.917E+01	1.795E+01	1.794E+01	
6.500E+02	1.815E+01	5.574E-03	1.815E+01	2.063E+01	2.062E+01	
7.000E+02	1.727E+01	5.177E-03	1.727E+01	2.345E+01	2.345E+01	
7.500E+02	1.650E+01	4.833E-03	1.651E+01	2.642E+01	2.641E+01	
8.000E+02	1.583E+01	4.533E-03	1.583E+01	2.951E+01	2.950E+01	
8.500E+02	1.523E+01	4.269E-03	1.524E+01	3.273E+01	3.272E+01	
9.000E+02	1.470E+01	4.035E-03	1.470E+01	3.607E+01	3.606E+01	
9.500E+02	1.422E+01	3.824E-03	1.422E+01	3.953E+01	3.952E+01	
1.000E+03	1.379E+01	3.635E-03	1.379E+01	4.310E+01	4.309E+01	
